aardvark|anteater,placental
brownstone|sandstone
browse|reading,feeding,shop,search,seek,crop,graze,range,pasture,feed,surf,nosh,snack
browser|spectator,witness,viewer,watcher,looker,application
bruin|bear
bruise|contusion,injury,hurt,harm,trauma,contuse,injure,wound,offend,spite,arouse,elicit,kindle,evoke,fire,raise,provoke,crush,damage
bruised|injured
bruiser|bull
bruising|harmful,forceful
bruit|rumor,gossip
brunch|meal,repast
brunet|brunette,suntanned,tanned,brown,dark,dusky,swarthy,grizzled,blond,person,individual,someone,somebody,mortal,soul
brunette|brunet,suntanned,tanned,brown,dark,dusky,swarthy,grizzled,blond,person,individual,someone,somebody,mortal,soul
brunt|force,forcefulness,strength
brush|brushwood,coppice,copse,thicket,vegetation,flora,botany,implement,touch,touching,clash,encounter,skirmish,fight,fighting,combat,scrap,hairdressing,contact,clean,sweep,move,remove,take,withdraw,cover
brushed|touched,fleecy,napped,soft
brushwood|wood,brush,coppice,copse,thicket,vegetation,flora,botany
brushwork|proficiency,technique
brusque|curt,short,discourteous
brusquely|bluffly,bluntly,roundly
brusqueness|abruptness,curtness,gruffness,shortness,discourtesy,rudeness
brutal|cruel,inhumane,barbarous,fell,roughshod,savage,vicious
brutality|viciousness,savagery,cruelty,cruelness,harshness,barbarity,barbarism,atrocity,inhumanity
brutalize|treat,handle,change,alter,modify
brutally|viciously,savagely
brute|beastly,bestial,brutish,inhumane,beast,wolf,savage,wildcat,attacker,aggressor,assailant,animal,creature,fauna,organism,being
brutish|beastly,bestial,brute,inhumane
brutishly|bestially
bubble|globule,scheme,strategy,illusion,fantasy,phantasy,fancy,covering,emit,breathe,ripple,babble,burble,gurgle,sound,burp,belch,eruct
bubbly|foamy,frothy,effervescent,lively,champagne
bubo|node,symptom
buccaneer|pirate,plunderer,pillager,looter,spoiler,despoiler,raider,freebooter,live
buck|horse,dollar,clam,bill,note,banknote,greenback,writer,author,missionary,missioner,sawhorse,sawbuck,framework,frame,placental,endeavor,strive,react,oppose,tear,shoot,charge,rush,hotfoot,hasten,speed,race,jerk,hitch,move
buckaroo|vaquero,cowboy,cowpuncher,puncher,cowman,cattleman,cowpoke,cowhand,cowherd
buckboard|carriage,equipage
bucket|pail,vessel,bucketful,place,pose,position,transport,carry
bucketful|bucket
buckeye|seed
buckle|fastener,fastening,warp,distortion,clasp,fasten,secure,unbuckle,crumple,collapse,give,break,founder,heave
buckler|shield,armor
buckram|starchy,stiff,formal,fabric,cloth,material,textile,stiffen
buckshot|shot,pellet
buckskin|mount,leather
buckskins|breeches,knickers
bucktooth|anterior
buckwheat|herb,grain,cereal
bucolic|pastoral,rustic,rural,herder,herdsman,drover,peasant,provincial,eclogue,idyll
budding|undeveloped
buddy|brother,chum,crony,sidekick,friend
budge|stir,shift,agitate,move
budgerigar|budgie,lovebird,parakeet
budget|fund,plan,program,calculate,cipher,compute,reckon,figure
budgetary|fund
budgie|budgerigar,lovebird,parakeet
buff|chromatic,devotee,lover,follower,leather,skin,caramel,brown,brownness,buffer,implement,buffet,burnish,furbish,flush,polish,smooth,shine
buffalo|bison,city,metropolis,game,overawe
buffer|compound,fender,cowcatcher,pilot,framework,frame,polisher,device,buff,implement,modify,cushion,soften
buffet|counter,sideboard,furniture,meal,repast,batter,strike,buff
buffoon|clown,fool,comedian,comic
buffoonery|frivolity,prank,folly,foolery,tomfoolery,craziness,lunacy,indulgence
buffoonish|clownish,zany,humorous
bugaboo|bogeyman,bugbear,boogeyman,monster,concern,worry,headache,vexation
bugbear|bogeyman,bugaboo,boogeyman,monster,hobgoblin,object
bugger|sodomite,pervert,deviant,deviate,degenerate,sodomize,copulate,mate,pair,couple
buggy|balmy,bats,batty,bonkers,cracked,crackers,daft,dotty,fruity,haywire,kooky,loco,loony,loopy,nuts,nutty,wacky,insane,dirty,unclean,roadster,carriage,equipage
bugle|brass,herb,bead,play,spiel
bugler|trumpeter
build|physique,figure,anatomy,shape,chassis,frame,form,flesh,body,construct,make,create,progress,develop,establish,better,improve,amend,ameliorate,meliorate,oversee,supervise,superintend,manage,base,ground,found,increase,intensify,deepen
builder|material,stuff,creator,constructor,contractor
building|edifice,structure,construction,business,gathering,assemblage
buildup|accumulation,accrual,accretion,promotion,publicity,packaging
built|improved,made-up,collective,stacked,shapely
built-in|inherent,integral,intrinsic
built-up|settled
bulb|stalk,stem,part,portion,medulla,structure
bulbous|round,circular,bulgy,protuberant
bulge|bump,hump,prominence,protuberance,protrusion,extrusion,excrescence,projection,pouch,protrude,deform,project,start,bulk,swell
bulgy|bulbous,protuberant
bulimia|hunger,hungriness
bulimic|hunger,hungriness,sufferer
bulk|majority,number,figure,minority,mass,volume,magnitude,bulge,pouch,protrude,swell
bulkhead|partition,divider
bulkiness|massiveness,largeness,bigness
bulky|large
bull|cattle,kine,oxen,bruiser,blunder,blooper,bloomer,bungle,pratfall,foul-up,flub,botch,boner,copper,fuzz,policeman,officer,investor,bear,person,individual,someone,somebody,mortal,soul,sign,mansion,house,center,midpoint,decree,edict,fiat,order,placental,push,speculate,rise,climb
bulldog|assail,assault,attack,overcome,subdue,surmount,master
bulldoze|level,raze,dismantle
bulldozer|tractor
bullet|slug,projectile,missile,fastball,heater,smoke,hummer,pitch,delivery
bulletin|report,story,account,publicize,bare
bulletproof|unassailable,unshakable,watertight,armored,proof
bullfight|spectacle
bullfighter|toreador,person,individual,someone,somebody,mortal,soul
bullfinch|architect,designer,finch
bullhead|catfish
bullheaded|pigheaded,stubborn,obstinate,unregenerate
bullhorn|loudspeaker,speaker
bullion|ingot
bullish|optimistic
bullock|bull,steer,cattle,kine,oxen,male
bullpen|area,cell
bullring|stadium,bowl,arena
bully|bang-up,dandy,great,groovy,keen,neat,nifty,peachy,swell,smashing,good,tough,hooligan,ruffian,roughneck,rowdy,attacker,aggressor,assailant,strong-arm,browbeat,hector,intimidate,swagger,wheedle,cajole,palaver,blarney,coax,sweet-talk,inveigle
bulrush|cattail,rush
bulwark|rampart,wall,embankment,barrier,breakwater,groin,mole,seawall,jetty,defend
bumble|botch,fumble,muff,blow,flub,spoil,bungle,fluff,bollix,bobble,mishandle,fail,miscarry,stumble,falter,walk,stutter,stammer,talk,speak,utter,mouth,verbalize
bumbler|bungler,blunderer,fumbler,stumbler,botcher,butcher,incompetent
bumbling|bungling,ham-fisted,ham-handed,heavy-handed,left-handed,maladroit
bummer|irritation,annoyance,vexation,effect
bump|injury,hurt,harm,trauma,bulge,hump,prominence,protuberance,protrusion,extrusion,excrescence,projection,blow,impact,knock,strike,find,happen,chance,encounter,dance,demote,relegate,break,delegate,designate,depute,assign,promote,dislodge,displace,expel,eject,exclude
bumper|abundant,glass
bumpiness|roughness,raggedness
bumpkin|yokel,rube,hick,yahoo,hayseed,rustic
bumptious|forward
bumpy|rough,rocky,jumpy,smooth
bunch|clump,cluster,crowd,crew,gang,gathering,assemblage,caboodle,collection,aggregation,accumulation,flock,bundle,form
bunchy|concentrated
bunco|bunko,hustle,sting,flimflam,swindle,cheat,victimize,rook,goldbrick,diddle,defraud,scam,mulct,chisel
buncombe|bunk,bunkum,guff,hogwash,drivel,garbage
bundle|package,packet,parcel,collection,aggregation,accumulation,assemblage,sheaf,pile,megabucks,money,pack,bunch,cluster,clump,form,compact,arrange,sleep,slumber
bung|plug,stopper,stopple,give,gift,present,close,shut
bungalow|cottage,house
bungee|rope
bunghole|hole
bungle|blunder,blooper,bloomer,pratfall,foul-up,flub,botch,boner,mistake,error,fault,bumble,fumble,muff,blow,spoil,fluff,bollix,bobble,mishandle,fail,miscarry,behave
bungled|unskilled
bungler|blunderer,fumbler,bumbler,stumbler,botcher,butcher,incompetent
bungling|clumsy,incompetent,unskilled,bumbling,ham-fisted,ham-handed,heavy-handed,left-handed,maladroit
bunion|swelling,puffiness,lump
bunk|manger,trough,berth,bunkum,buncombe,guff,hogwash,drivel,garbage,nonsense,hokum,message,content,substance,beat,cheat,chisel,scat,escape,leave
bunker|trap,hazard,container,dugout,munition,fuel,transfer,shift
bunko|bunco,hustle,sting,flimflam,swindle,cheat
bunkum|bunk,buncombe,guff,hogwash,drivel,garbage
bunny|waitress,rabbit,coney,cony
buns|buttocks,butt,backside,hindquarters,posterior,rear,rump,stern,seat,tail,tush,bottom,behind,derriere,fanny
bunt|striking,smut,butt,strike
bunting|fabric,cloth,material,textile,finch
buoy|reference,float,swim,hold,support,sustain,mark
buoyancy|perkiness,cheerfulness,blitheness,airiness,lightness,tendency,inclination,liveliness,life,spirit
buoyant|light,perky,cheerful
burble|ripple,babble,bubble,gurgle,sound
burden|load,encumbrance,onus,concern,worry,headache,vexation,loading,weight,effect,essence,core,gist,meaning,significance,import,idea,thought,charge,unburden,saddle,command,require,compel
burdensome|onerous,taxing,heavy
bureau|agency,office,authority,chest,dresser,furniture
bureaucracy|officialdom,government,authorities,regime,organization
bureaucrat|official,functionary
bureaucratic|official,functionary,officialdom
burg|town
burgeon|grow
burger|hamburger,sandwich
burgh|borough
burgher|bourgeois,commoner
burglar|thief
burglarize|burgle,heist,steal
burglarproof|protected,secure
burglary|felony
burgle|burglarize,heist,steal
burgomaster|mayor
burgundy|wine,vino
burial|entombment,interment,funeral,concealment,hiding
burl|wood,knot,roughness,raggedness,remove,take,withdraw
burlap|gunny,sacking
burled|patterned
burlesque|show,parody,lampoon,spoof,mockery,takeoff,travesty,charade,put-on,caricature,imitation,mock
burly|beefy,husky,strapping,robust
burn|burning,pain,suntan,sunburn,injury,hurt,harm,trauma,blemish,defect,damage,fire,destroy,ruin,glow,shine,beam,turn,bite,sting,ache,smart,feel,experience,incinerate,execute,waste,blow,squander,cauterize,treat,discolor,color,produce,make,create,consume,deplete,exhaust
burnable|ignitable,combustible
burner|apparatus,setup
burning|painful,ardent,fervent,fervid,fiery,impassioned,torrid,passionate,ablaze,afire,aflame,alight,blazing,flaming,important,combustion,burn,pain,oxidation,oxidization,execution,torture
burnish|polish,gloss,glossiness,radiance,shine,effulgence,refulgence,smoothness,buff,furbish,flush,smooth
burnished|bright,lustrous,shining,shiny,polished
burnoose|cloak
burnt|cooked,tempered
burp|belch,eructation,reflex,expulsion,projection,ejection,bubble,eruct,emit,breathe
burr|projection,politician,politico,remove,take,withdraw
burrito|dish
burro|donkey
burrow|tunnel,hole,hollow,delve
bursa|city,metropolis
bursar|treasurer
bursitis|inflammation,redness
burst|busted,explosion,fusillade,salvo,volley,fire,activity,outburst,happening,occurrence,split,break,separate,erupt,explode,implode,jump,leap,bound,spring,abound,bristle,have,feature,emerge,collapse,bust
bury|hide,conceal,entomb,inter,repose,situate,posit,deposit,immerse,swallow,enclose,inclose,sink,implant,embed,imbed,plant,forget,remember
busby|bearskin,chapeau
bush|bush-league,inferior,shrub,wilderness,wild,scrub,chaparral,vegetation,flora,botany,hair,supply,provide,render,furnish
bush-league|bush,inferior
bushed|beat,dead,tired
bushel|repair,mend,doctor,restore,better,improve,amend,ameliorate,meliorate,break
bushing|insulator,dielectric,nonconductor,lining
bushman|nomad,pioneer
bushwhack|ambush,scupper,waylay,lurk,ambuscade,wait,live,make,work
bushwhacker|hillbilly,rustic
bushy|shaggy
business|concern,enterprise,commerce,mercantilism,sector,worry,headache,vexation,occupation,line,activity,object,objective,target,byplay,acting,playacting,clientele,patronage,people
businesslike|efficient,earnest,purposeful
businessman|bourgeois
buskin|boot
buss|kiss,osculation,touch,touching,osculate
bust|broke,poor,flop,fizzle,failure,thorax,chest,sculpture,tear,binge,bout,revel,revelry,break,destroy,ruin,repair,raid,attack,assail,rupture,snap,separate,disunite,divide,part,wear,decay,crumble,burst
busted|burst,broken
buster|fellow,dude,child,youngster,minor,shaver,nipper,tike,tyke,nestling,broncobuster,horseman,equestrian,person,individual,someone,somebody,mortal,soul
bustle|hustle,flurry,fuss,stir,commotion,ruckus,rumpus,tumult,framework,frame,move
bustling|active
busty|bosomy,buxom,curvaceous,curvy,voluptuous,shapely
busy|engaged,occupied,diligent,idle,fussy,fancy,meddlesome,officious,intrusive,active,occupy,work
busybody|meddler
busyness|action,activity,activeness
busywork|make-work,work
butane|paraffin,fuel
butch|macho,masculine,homosexual,dike,dyke,lesbian
butcher|merchant,merchandiser,murderer,liquidator,slaughterer,bungler,blunderer,fumbler,bumbler,stumbler,botcher,incompetent,slaughter,kill
butchery|abattoir,shambles,building,edifice,business,slaughter,massacre,carnage,murder,slaying,execution
butler|manservant,writer,author,poet
butt|stock,part,portion,component,goat,stooge,victim,dupe,buttocks,backside,buns,hindquarters,posterior,rear,rump,stern,seat,tail,tush,bottom,behind,derriere,fanny,target,cigarette,smoke,joint,barrel,cask,stub,border,adjoin,edge,abut,march,touch,meet,contact,bunt,strike,place,pose,position
butte|hill,town
butter|food,combatant,battler,belligerent,fighter,scrapper,cover
butterball|fatty,roly-poly,dipper,duck
buttercup|crowfoot,herb
butterfly|flit,flutter,fleet,dart,unfold,spread,open,flirt,dally,coquette,romance,philander,mash,talk,speak
buttermilk|milk
butternut|walnut
butterscotch|candy
buttery|fulsome,oily,oleaginous,smarmy,soapy,unctuous,insincere,fatty,pantry,larder,storeroom,stowage,tearoom
buttock|cheek
buttocks|butt,backside,buns,hindquarters,posterior,rear,rump,stern,seat,tail,tush,bottom,behind,derriere,fanny
button|fastener,fastening,push,switch,badge,clitoris,release,device,artifact,artefact,fasten,secure,unbutton
button-down|conservative,conventional
buttonhole|hole,lobby,solicit
buttonwood|sycamore
buttress|support,reinforce,reenforce,strengthen,fortify
buxom|bosomy,busty,curvaceous,curvy,voluptuous,shapely,chubby,plump
buyback|redemption,repurchase,purchase
buyer|purchaser,customer,client
buyout|acquisition
buzz|sound,activity,wing,seethe,summon
buzzard|hawk
buzzer|doorbell,bell,push,button
buzzword|cant,nonsense,bunk,hokum
by-and-by|future,hereafter,futurity
bye-bye|adieu,adios,good-by,goodbye,farewell
bygone|departed,foregone,gone,past,yesteryear,yore
bylaw|rule,prescript
bypass|road,route,shunt,conductor,avoid
bypath|byway,byroad,road,route
byplay|business,acting,playacting
byproduct|consequence,effect,outcome,result,event,issue,upshot,product,production
byroad|byway,bypath,road,route
bystander|spectator,witness,viewer,watcher,looker
byway|bypath,byroad,road,route
byword|proverb,adage,saying,expression,locution
byzantine|convoluted,involved,knotty,tangled,tortuous,complex,artful
c-section|cesarean,caesarean,delivery
cabal|faction,clique,coterie,pack,camp,conspiracy,plot,game,conspire,conjure,machinate
cabala|secret,theosophy
cabana|tent
cabaret|nightclub,club,nightspot,spot,show
cabbage|boodle,bread,dough,kale,lettuce,lucre,loot,pelf,scratch,shekels,sugar,wampum,money,pilfer,purloin,pinch,abstract,swipe,hook,sneak,filch,lift,steal
cabby|cabdriver,driver
cabdriver|cabby,driver
cabin|compartment,house,confine
cabinet|furniture,locker,compartment,console,housing
cabinetmaker|woodworker,woodsman,woodman
cabinetry|cabinetwork,carpentry,woodworking,woodwork
cabinetwork|woodwork,cabinetry,carpentry,woodworking
cable|cablegram,telegram,wire,line,conductor,rope,television,video,telegraph,fasten,secure
cablegram|cable,telegram,wire
cabochon|gemstone,stone
caboodle|bunch,collection,aggregation,accumulation,assemblage
caboose|galley,kitchen
cabriolet|carriage,equipage
cabstand|stand
cache|hoard,stash,store,stock,fund,buffer,save
cachet|seal,award,accolade,honor,laurels,warrant,stamp
cackle|yack,chatter,talk,laugh,laughter,speak,utter,mouth,verbalize,emit
cackler|biddy,babbler
cacophonous|croaky,guttural,grating,gravel,gravelly,raspy,rough,scratchy,gruff,hoarse,husky,jarring,piercing,raucous,strident,splitting,noisy,euphonious
cacophony|blare,clamor,noise,dissonance
cactus|succulent
cadaver|corpse,stiff,clay,remains,body
cadaverous|bony,emaciated,gaunt,haggard,pinched,skeletal,wasted,thin,lean,body
caddie|attendant,tender,caddy,serve
caddish|discourteous
caddy|caddie,serve
cadence|meter,measure,beat,prosody,passage
cadenced|rhythmical,rhythmic
cadenza|passage
cadet|plebe,trainee
cadge|mooch,grub,sponge,obtain,scrounge
cadger|moocher,mooch,scrounger,beggar,mendicant
cadmium|metal
cadre|cell,core,nucleus
caduceus|insignia
caesarean|cesarean,delivery,general,statesman
caesura|pause,intermission,break,interruption,suspension,prosody,inflection
cafe|coffeehouse,restaurant
cafeteria|restaurant
caffeine|alkaloid
caftan|dress,frock,cloak
cage|coop,enclosure,constraint,restraint,composer,confine,detain
cagey|cagy,canny,clever,smart,chary,cautious
cagy|cagey,canny,clever,smart,chary,cautious
cahoot|connivance,collusion
caiman|cayman
cairn|marker,marking,mark,terrier
caisson|coffer,lacuna,panel,chest,cofferdam,chamber
caitiff|cowardly,fearful
cajole|wheedle,palaver,blarney,coax,sweet-talk,inveigle,persuade
cajolery|blandishment,palaver,flattery
cake|block,patty,dish,coat,cover
cakewalk|choreography,achievement,dance
calabash|gourd,tree,bottle,pipe
calamari|squid,seafood
calamine|mineral
calamitous|black,disastrous,fatal,fateful,unfortunate
calamity|catastrophe,disaster,tragedy,cataclysm,misfortune
calcareous|chalky,carbonate
calciferous|metal
calcify|harden,change,turn,alter,modify
calcimine|wash,whitewash
calcine|heat
calcite|spar
calcium|metal
calculable|estimable,countable,enumerable,numerable,determinable,incalculable
calculate|cipher,compute,reckon,figure,reason,estimate,forecast,evaluate,judge,account,predict,foretell,call,forebode,anticipate,promise,direct,intend,destine,designate,specify,count,depend,look,trust,swear,rely,bank
calculated|deliberate,measured,premeditated
calculating|calculative,conniving,scheming,shrewd,hard
calculation|computation,computing,procedure,process,reckoning,deliberation,preparation,provision
calculative|calculating,conniving,scheming,shrewd,hard
calculator|machine,estimator,computer,expert
calculus|concretion,rock,stone,tartar,crust,incrustation,encrustation
caldera|crater
caldron|cauldron
calendar|arrangement,organization,system,list,listing,table,schedule
calender|machine,press
calf|calfskin,leather
calfskin|calf,leather
caliber|quality,degree,grade,level,bore,gauge,diameter
calibrate|graduate,fine-tune,adjust,correct,label,mark,measure
calibration|activity
calico|fabric,cloth,material,textile,motley,multicolored,piebald,pied,varicolored,colored,colorful
californium|metal
caliper|measure
caliph|ruler
caliphate|epoch,jurisdiction,position,post,berth,office,spot,billet,place,situation
calisthenic|practice,pattern
calisthenics|practice,pattern,exercise,workout
calk|cleat,supply,provide,render,furnish,caulk,seal,injure,wound
call|telephone,telephony,inclination,disposition,tendency,outcry,yell,shout,vociferation,utterance,vocalization,claim,demand,song,visit,request,instruction,command,statement,decision,conclusion,option,name,label,phone,ring,order,tell,enjoin,scream,holler,squall,utter,emit,meet,bespeak,quest,indicate,postpone,table,shelve,defer,remit,read,declare,adjudge,hold,predict,foretell,forebode,anticipate,promise,guess,venture,pretend,hazard,challenge,dispute,gainsay,consider,reckon,view,regard,exact,address,stop,play,require,expect,entice,lure,tempt,awaken,wake,waken,rouse,arouse
call-in|call
calla|flower
callback|recall,request
caller|cool,fresh,company,visitor,visitant,investor,bettor,better,wagerer,punter,announcer,leader,telephoner,speaker,talker
calligraphic|handwriting,hand,script
calligraphy|penmanship,chirography,handwriting,hand,script
calling|career,vocation,occupation,business,line
calliope|instrument
callosity|callus,callousness,hardness
callous|insensitive,calloused,tough,cauterize,inure,harden
calloused|callous,tough
callously|unfeelingly
callousness|callosity,hardness
callow|fledgling,unfledged
callowness|immaturity
callus|callosity,scar,cicatrix,cicatrice,harden
calm|serene,tranquil,composed,placid,quiet,still,smooth,unruffled,settled,windless,peaceful,stormy,easygoing,contented,content,composure,calmness,equanimity,disposition,temperament,discomposure,tranquilize,tranquillize,lull,comfort,soothe,console,solace,agitate,steady,becalm,stabilize,turn,sedate,affect,stimulate
calmly|sedately
calmness|composure,calm,equanimity,disposition,temperament,discomposure,feeling,agitation
caloric|thermal,energy
calumet|pipe
calumniate|defame,slander,smirch,denigrate,smear,sully,besmirch,charge,accuse
calumniation|defamation,calumny,obloquy,depreciation,derogation
calumnious|defamatory,libellous,libelous,slanderous,harmful
calumny|defamation,calumniation,obloquy,depreciation,derogation,aspersion,slander,denigration,attack
calve|separate,divide,part,litter
calypso|orchid
calyx|coil,whorl,roll,curl,curlicue,ringlet,scroll
camaraderie|chumminess,comradeship,sociability
camber|convexity,bank,cant,slope,incline,side,alignment,arch,curve
cambium|stratum
cambric|fabric,cloth,material,textile
camcorder|camera
camelhair|fabric,cloth,material,textile
camellia|shrub,bush
cameraman|photographer
camisole|undergarment,negligee,peignoir,wrapper,housecoat
camomile|chamomile,herb
camouflage|disguise,semblance,gloss,color,fabric,cloth,material,textile,screen,cover,covert,concealment,hiding
camp|campy,tasteless,encampment,cantonment,bivouac,gathering,assemblage,housing,lodging,clique,coterie,pack,circle,band,prison,triteness,staleness,shelter,site,encamp,tent,dwell,live,inhabit,pitch,change,alter,modify
campaign|race,cause,crusade,drive,movement,effort,venture,operation,safari,expedition,fight,press,push,agitate,advertise,promote
campaigner|candidate,nominee,politician,politico
campanile|belfry
camper|vacationer,vacationist
campfire|fire
campground|campsite,bivouac,encampment,site
camping|encampment,habitation
campsite|campground,bivouac,encampment,site
campus|field
campy|camp,tasteless
camshaft|shaft
can-do|dynamic
canal|channel,duct,passage,passageway,watercourse,waterway,canalize,supply,provide,render,furnish
canalization|production,management,direction
canalize|canal,supply,provide,render,furnish,channel,steer,maneuver,direct,point,head,guide,channelize
canape|appetizer,starter
canard|fabrication,fiction,fable
canary|chromatic,fink,snitch,sneak,sneaker,informer,betrayer,squealer,blabber,singer,vocalist,yellow,yellowness,finch
canasta|meld,rummy
cancan|choreography
cancel|natural,scratch,scrub,offset,balance,declare,adjudge,hold,delete,remove,take,withdraw,invalidate,score,mark
cancellation|override,negation
cancer|person,individual,someone,somebody,mortal,soul,sign,mansion,house
cancerous|malignant,malign
candelabra|candelabrum,candlestick
candelabrum|candelabra,candlestick
candid|blunt,forthright,frank,outspoken,plainspoken,point-blank,direct,unstudied,open,ingenuous,artless
candidacy|campaign,cause,crusade,drive,movement,effort
candidate|campaigner,nominee,politician,politico,prospect,person,individual,someone,somebody,mortal,soul
candidly|honestly,frankly
candidness|candor,frankness,directness,honesty
candied|sugary,glace
candle|taper,lamp,examine
candlelight|light
candlepower|intensity,strength
candlestick|holder
candor|fairness,impartiality,unfairness,candidness,frankness,directness,honesty
candy|sweet,confection,sugarcoat,glaze,sweeten
cane|stalk,stem,switch,flog,lambaste,lambast,beat
canebrake|brush,brushwood,coppice,copse,thicket
canine|tooth,eyetooth,cuspid,carnivore
canister|ammunition,ammo,container
canker|ulcer,ulceration,pestilence,influence,sicken,infect
cankerous|ulcerated,ulcerous,unhealthy
cannabis|hemp,shrub,bush,marijuana,marihuana
cannelloni|pasta
cannery|factory,mill
cannibal|man-eater,savage,barbarian
cannibalism|practice,pattern
cannibalize|consume,ingest,take,have,utilize,apply,employ
cannily|presciently
cannon|artillery,ordnance,shank,carom,stroke,shot,discharge
cannonade|attack,assail
cannonball|projectile,missile
canny|cagey,cagy,clever,smart
canoe|boat
canoeist|paddler,boatman,boater
canon|rule,prescript,priest,canyon,ravine,opus,composition,piece,list,listing,scripture
canonical|rule,prescript,basic,standard,orthodox
canonize|saint,declare,adjudge,hold,laud,extol,exalt,glorify,proclaim
canopy|covering,fabric,cloth,material,textile,shelter,cover
cant|buzzword,nonsense,bunk,hokum,bank,camber,slope,incline,side,slang,jargon,lingo,argot,patois,vernacular,talk,bevel,edge,tilt,slant,pitch,move
cantabile|singing,melodious,melodic,musical
cantaloupe|muskmelon
cantankerous|stubborn,obstinate,unregenerate,crotchety,ornery,ill-natured
cantata|oratorio,classical
canteen|flask,shop,store,restaurant
canter|lope,gait,pace,ride
canticle|hymn,anthem
cantilever|beam,protrude,project,construct,build,make
canto|section,subdivision
canton|city,metropolis,port,quarter,billet,lodge,accommodate,divide,split,separate,dissever
cantonal|city,metropolis,port
cantonment|camp,encampment,bivouac
cantor|choirmaster,musician
canvas|canvass,fabric,cloth,material,textile,setting,background,scope,tent,sail,sheet,solicit,poll,survey,cover,analyze,study,examine
canvasback|duck
canvass|canvas,setting,background,scope,poll,inquiry,enquiry,research,sail,sheet,tent,fabric,cloth,material,textile,survey,solicit,analyze,study,examine
canvasser|solicitor,petitioner,suppliant,supplicant,examiner,inspector,pollster,inquirer,questioner,teller
canyon|canon,ravine
capability|ability,incapability,capacity,potentiality,aptitude
capable|able,confident,surefooted,resourceful,competent,incapable,open,subject,susceptible,adequate
capably|competently,aptly,ably
capacious|large
capacitance|capacity,capacitor,condenser
capacitor|capacitance,condenser
capacity|capability,incapacity,content,volume,production,function,office,part,role,capacitance,ability,power,tolerance
caparison|housing,tack,bard,decorate,adorn,grace,ornament,embellish,beautify
cape|land,earth,ground,mantle,cloak
caper|shrub,bush,pickle,robbery,leap,spring,bound,bounce,play,frolic,romp,gambol,diversion,recreation,antic,joke,prank,trick,put-on,jump
capillary|hairlike,thin,tube,tubing
capital|superior,primary,great,uppercase,assets,seat,character,lowercase,center,book
capitalism|socialism
capitalist|capitalistic,bourgeois,competitive,socialistic,conservative,person,individual,someone,somebody,mortal,soul
capitalistic|capitalist,bourgeois,competitive,socialistic
capitalize|profit,gain,benefit,supply,provide,render,furnish,write,calculate,cipher,compute,reckon,figure,consider,view,regard,change,exchange,commute,convert
capitulate|surrender
capitulation|summary,fall,surrender,loss
capo|head,chief
capon|chicken
cappuccino|coffee,java
caprice|impulse,whim,desire
capricious|freakish,impulsive,whimsical,arbitrary
capriciously|freakishly
capsicum|pepper,shrub,bush
capsize|turtle,overturn
capstan|winch,windlass
capstone|touch,stretcher,stone
capsular|structure
capsule|container,pill,lozenge,tablet,condensation,abridgement,abridgment,summary,structure,spacecraft,seat,capsulize,envelop,enfold,wrap,enclose,encapsulate,digest,condense,concentrate
capsulize|capsule,envelop,enfold,wrap,enclose,encapsulate,digest,condense,concentrate
captain|skipper,policeman,officer,master,chieftain,leader,pilot,headwaiter,head,lead
captaincy|position,post,berth,office,spot,billet,place,situation
caption|exception,subtitle,translation,rendering,version,legend,title,supply,provide,render,furnish
captious|faultfinding,critical
captivate|capture,trance,catch,enamor,beguile,charm,fascinate,bewitch,entrance,enchant,attract,appeal
captivating|bewitching,enchanting,enthralling,entrancing,fascinating,attractive
captivation|fascination,enchantment,spell,trance,enthrallment,liking
captive|confined,absorbed,engrossed,intent,attentive,prisoner,unfortunate,animal,beast,brute,creature,fauna
captivity|imprisonment,confinement,enslavement,subjugation,subjection
captor|person,individual,someone,somebody,mortal,soul,liberator
capture|seizure,action,activity,felony,represent,interpret,trance,catch,enamor,captivate,beguile,charm,fascinate,bewitch,entrance,enchant,attract,appeal,seize,clutch,change,alter,modify,appropriate,conquer,assume,usurp,arrogate,acquire
caracul|karakul
carafe|decanter,bottle
caramel|chromatic,candy,sugar,buff,brown,brownness
caramelize|convert
carapace|shell,cuticle,shield
carat|karat,unit
caravan|train,procession,camper,travel,move
caravansary|caravanserai,khan,hostel,hostelry,lodge
caravanserai|caravansary,khan,hostel,hostelry,lodge
caraway|herb
carbine|rifle
carbohydrate|sugar
carbon|element,paper,copy
carbonaceous|element
carbonate|salt,process,treat,change
carbonated|effervescent
carbonation|permeation,suffusion
carbonize|turn
carboy|bottle
carbuncle|garnet
carbuncular|unhealthy
carcass|body
carcinogen|substance,matter
carcinogenic|cancer
carcinoma|cancer
card|paper,cardboard,humorist,poster,posting,placard,notice,bill,sign,greeting,salutation,scorecard,record,book,menu,lineup,roll,roster,board,tease,separate,check,insure,ensure,control,ascertain,assure
cardamom|herb,flavoring,seasoning
cardboard|artificial,unreal,paper,packing,wadding
cardiac|viscus
cardigan|sweater,corgi
